Model,year,total_qty,avg_unit_price,min_unit_price,max_unit_price,median_unit_price,price_observations
AB39,2017,44820.0,96.72988777,94.92545111,97.75861942,97.50559278,3
AISI430,2017,373680.0,7.616763764,4.712748648,10.52077888,7.616763764,2
ANG537,2017,636768.0,4.76,4.76,4.76,4.76,2
ANG537,2018,1491696.0,4.917646882600001,4.756953139,4.973579828,4.964384517,5
ANGW11,2017,696096.0,10.840080546666668,10.47982975,11.24517451,10.787364745,6
CH302322,2017,9900.0,39.04787475,39.04787475,39.04787475,39.04787475,1
GR40275,2017,115848.0,24.25582418,24.25582418,24.25582418,24.25582418,1
GS21,2018,6000.0,17.253965,17.253965,17.253965,17.253965,1
GT001,2025,180.0,154.1690556,154.1690556,154.1690556,154.1690556,1
HLG0001,2018,1920.0,74.43667708,74.43667708,74.43667708,74.43667708,1
HLG00020,2018,960.0,104.9557188,104.9557188,104.9557188,104.9557188,1
KL32,2022,8451.0,381.445597,381.445597,381.445597,381.445597,1
KL321,2019,750.0,437.7441056,409.6624255,465.8257857,437.7441056,2
KL321,2020,4910.2,358.79385609999997,354.2750406,363.3126716,358.79385609999997,2
KL324,2019,2314.5,488.852502825,360.6069182,805.9525556,394.42526875,4
KL324,2020,13944.0,315.06298690000006,305.5622238,324.56375,315.06298690000006,2
KL324,2021,29298.0,341.06591836666666,322.0466215,377.7894268,323.3617068,3
KL324,2022,45074.8,376.69109516,365.9008221,384.1449412,378.0898946,5
KL324,2023,57564.0,336.57584288333334,330.3591348,339.4799317,337.92939835,6
KL324,2024,9676.0,333.0922592,333.0922592,333.0922592,333.0922592,1
KL3241,2020,8592.8,355.9038331333333,340.7971621,373.02667,353.8876673,3
KL326,2019,250.0,354.91488,354.91488,354.91488,354.91488,1
KL326,2020,17099.5,322.89090063333333,309.1854965,338.4254545,321.0617509,3
KL326,2021,17242.5,368.5426426,331.9784528,405.1068324,368.5426426,2
KL326,2022,10817.6,394.22414415000003,388.5427139,399.9055744,394.22414415000003,2
KL326,2023,16745.5,360.6067035,352.4233959,368.7900111,360.6067035,2
KW830,2019,14040.0,75.51662607,75.51662607,75.51662607,75.51662607,1
MLSK750,2022,7639.2,556.8068738,556.8068738,556.8068738,556.8068738,1
NP003,2021,23520.0,391.4276756,391.4276756,391.4276756,391.4276756,1
QTY34920,2019,6790.0,395.5840059,395.5840059,395.5840059,395.5840059,1
QTY47160,2019,7451.28,415.7838586,415.7838586,415.7838586,415.7838586,1
QTY99600,2022,8677.15,255.3805017,255.3805017,255.3805017,255.3805017,1
RM2628,2017,68760.0,31.41526789,31.41526789,31.41526789,31.41526789,1
RY304,2024,89.6,1035.1601758,999.4680556,1070.852296,1035.1601758,2
SD0900,2023,720.0,111.0580972,111.0580972,111.0580972,111.0580972,1
SD1078,2024,3947.3,406.755038,401.3805522,412.1295238,406.755038,2
SD1078,2025,3910.0,402.7499616,402.7499616,402.7499616,402.7499616,1
SG210,2023,4720.8,576.4497325,574.947381,578.2616049,576.1402116,3
SG2318,2023,7377.6,340.09949057,93.11794444,587.0810367,340.09949057,2
SG705,2022,90.0,608.7222222,608.7222222,608.7222222,608.7222222,1
SG705,2023,18381.8,642.7739325375001,615.7635629,652.254758,646.7387294499999,8
SG707,2023,4980.0,560.7798897333333,558.20296,563.1364444,561.0002648,3
SG805,2019,14310.0,575.52811036,532.7043241,597.8172487,581.0765412,5
SG805,2020,19237.0,529.505493775,506.4737953,550.7976871,535.0114191,8
SG805,2021,6750.0,600.479490175,595.8647901,611.8557298,597.0987204,4
SG805,2022,49042.8,638.057285725,572.9060185,660.0485464,647.4251179,16
SG805,2023,89764.3,557.8279426222726,91.92192979,620.915483,595.1420274,22
SG902,2022,96.0,634.0857292,634.0857292,634.0857292,634.0857292,1
SG902,2023,8904.0,591.77619458,585.1833675,609.5340873,585.7711618,5
SH158,2024,21.0,1792.575714,1792.575714,1792.575714,1792.575714,1
SK750,2017,24300.0,93.5954525125,92.97331826,94.7099093,93.349291245,4
SK750,2018,201600.0,95.42931273461538,90.67867063,99.79566797,95.28633885,13
SK750,2019,103075.35,365.91319340166666,92.1288046,598.0154773,472.56779405,12
SK750,2020,21828.0,497.25961320000005,476.1243198,516.7088109,501.5846867,6
SK750,2021,15494.400000000001,499.63866774999997,492.7636591,502.4950649,501.6479735,4
SK750,2022,60321.6,542.03777203125,493.548717,576.9107963,544.9517184,16
SK750,2023,57825.3,519.370210845,494.6905777,552.6109807,514.6220774,20
SM1168,2019,16792.0,366.6137004775,99.89136111,458.1531384,454.2051512,4
SM1168,2020,4770.0,490.8418092,490.8418092,490.8418092,490.8418092,1
SM1168,2021,26383.5,519.3853580666666,490.5022495,573.6070949,494.0467298,3
SM1168,2022,21672.0,588.12448875,583.9064046,592.3425729,588.12448875,2
SM1168,2023,10836.0,572.7315347,572.7315347,572.7315347,572.7315347,1
SM1168,2024,21672.0,565.80134365,557.0314341,574.5712532,565.80134365,2
SM1168,2025,10836.0,587.2612929,587.2612929,587.2612929,587.2612929,1
SP750,2023,210.0,599.460619,599.460619,599.460619,599.460619,1
SS410,2019,7740.0,208.3918734,208.3918734,208.3918734,208.3918734,1
SS410,2020,22899.0,212.65365233333333,198.8250359,228.7038363,210.4320848,3
SS410,2021,46141.0,266.21943741666666,220.3412267,298.3306532,265.83459905,6
SS410,2022,37614.5,265.92991525,231.5006521,298.0790521,266.0756686,6
SS410,2023,30196.5,231.4924261,224.7610583,241.0917635,230.0584413,4
SS410,2024,37297.5,240.80032968,227.413,258.4188435,237.0249852,5
SS410,2025,15060.0,239.0405835,235.7600013,242.3211657,239.0405835,2
SS430,2019,14370.0,228.7672416,201.8136794,255.7208038,228.7672416,2
SY320,2024,2520.0,341.8951468,341.8951468,341.8951468,341.8951468,1
SY592,2024,95.0,430.0008421,430.0008421,430.0008421,430.0008421,1
SY604,2024,4286.5,494.851396725,414.1170408,702.4198571,431.4343445,4
SY722,2024,78.0,511.9528205,511.9528205,511.9528205,511.9528205,1
SY772,2024,8169.0,234.7560758666667,224.3292401,249.4031136,230.5358739,3
SY845,2025,3750.0,510.6597173,510.6597173,510.6597173,510.6597173,1
TH5170,2025,290.0,401.7253103,401.7253103,401.7253103,401.7253103,1
TOTAL102240,2019,3408.0,468.32201,468.32201,468.32201,468.32201,1
TOTAL720,2019,170.0,267.9796471,267.9796471,267.9796471,267.9796471,1
USD0,2021,17964.8,428.908741,428.908741,428.908741,428.908741,1
USD0,2022,16007.6,605.3646005200001,563.2033571,685.2819561,595.4763051,5
USD0,2023,42480.0,526.9504451571428,496.453737,559.0221,524.0138711,7
USD0,2024,9292.4,612.8270625333333,576.6403467,680.6434415,581.1973994,3
USD0,2025,10608.2,615.5616212,615.5616212,615.5616212,615.5616212,1
USD1,2017,7350.0,520.9797088,520.9797088,520.9797088,520.9797088,1
USD1,2021,17324.9,487.35105350000003,439.6871659,559.1405593,463.2254353,3
USD1,2022,92303.2,537.7418772714285,426.7317652,615.7373418,537.638285,14
USD1,2023,36062.0,518.2748276444445,458.5877957,619.7645724,499.7562646,9
USD1,2025,18710.35,466.61574235,463.4730574,469.7584273,466.61574235,2
USD2,2021,10171.28,407.3234362,407.3234362,407.3234362,407.3234362,1
USD2,2022,29355.2,504.59829243333337,467.0604217,562.4123141,484.3221415,3
USD3,2021,10892.0,416.3815277,416.3815277,416.3815277,416.3815277,1
WT985,2017,24048.0,37.03133441,37.03133441,37.03133441,37.03133441,1
XL8168,2024,386.4,1271.376443,1225.781457,1316.971429,1271.376443,2
,2017,3090225.0,93.93739797994776,4.727564088,1728.281667,71.66177546,134
,2018,5341126.4,165.64444013091665,4.856987678,1113.291177,81.513053945,204
,2019,2093068.02,368.04212852422563,4.938705895,3708.39,379.01925465,226
,2020,912307.38,416.6676171524528,33.29438,1033.33148,415.1334241,159
,2021,1024648.61,457.34626901470585,178.913524,1076.269045,463.33608455,170
,2022,1124967.56,534.9148917030457,214.1640168,1077.822415,540.1795183,197
,2023,1706614.76,501.09858768961413,63.64621173,1045.211749,514.1085452,311
,2024,1038132.04,433.03160407319587,195.9894236,982.0263549,412.6203251,194
,2025,856513.9299999999,443.98446816260565,85.37782609,1678.824667,429.0043706,142
